# H and K (a/a_h = 1.0) at Tmax(q)
# PCHIP-interpolated in log(q) from discrete datapoints
# q            H            sH           K            sK
7.316807e-04 1.781572e+01 2.580305e-01 1.574967e-01 7.917305e-02
7.663411e-04 1.779345e+01 2.480195e-01 1.427855e-01 7.649957e-02
8.026434e-04 1.777093e+01 2.381376e-01 1.295773e-01 7.393124e-02
8.406653e-04 1.774862e+01 2.286477e-01 1.181972e-01 7.146525e-02
8.804884e-04 1.772700e+01 2.198123e-01 1.089700e-01 6.909883e-02
9.221979e-04 1.770655e+01 2.118943e-01 1.022205e-01 6.682918e-02
9.658832e-04 1.768773e+01 2.051563e-01 9.827382e-02 6.465353e-02
1.011638e-03 1.767096e+01 1.998162e-01 9.740621e-02 6.256817e-02
1.059560e-03 1.765538e+01 1.950767e-01 9.872645e-02 6.055109e-02
1.109752e-03 1.764040e+01 1.905471e-01 1.016026e-01 5.859369e-02
1.162322e-03 1.762590e+01 1.862150e-01 1.057853e-01 5.669578e-02
1.217383e-03 1.761173e+01 1.820682e-01 1.110250e-01 5.485715e-02
1.275051e-03 1.759776e+01 1.780944e-01 1.170724e-01 5.307759e-02
1.335452e-03 1.758385e+01 1.742814e-01 1.236781e-01 5.135691e-02
1.398713e-03 1.756985e+01 1.706170e-01 1.305925e-01 4.969491e-02
1.464971e-03 1.755564e+01 1.670888e-01 1.375664e-01 4.809138e-02
1.534368e-03 1.754108e+01 1.636846e-01 1.443502e-01 4.654613e-02
1.607053e-03 1.752601e+01 1.603921e-01 1.506945e-01 4.505894e-02
1.683180e-03 1.751032e+01 1.571991e-01 1.563500e-01 4.362962e-02
1.762914e-03 1.749385e+01 1.540934e-01 1.610672e-01 4.225797e-02
1.846425e-03 1.747648e+01 1.510626e-01 1.645967e-01 4.094379e-02
1.933892e-03 1.745806e+01 1.480945e-01 1.666890e-01 3.968687e-02
2.025502e-03 1.743843e+01 1.451773e-01 1.671388e-01 3.848592e-02
2.121452e-03 1.741715e+01 1.423100e-01 1.666022e-01 3.732033e-02
2.221947e-03 1.739417e+01 1.394948e-01 1.654246e-01 3.618231e-02
2.327202e-03 1.736965e+01 1.367323e-01 1.636691e-01 3.507180e-02
2.437444e-03 1.734373e+01 1.340230e-01 1.613990e-01 3.398873e-02
2.552908e-03 1.731654e+01 1.313673e-01 1.586774e-01 3.293303e-02
2.673842e-03 1.728823e+01 1.287659e-01 1.555675e-01 3.190463e-02
2.800504e-03 1.725894e+01 1.262190e-01 1.521323e-01 3.090346e-02
2.933166e-03 1.722881e+01 1.237274e-01 1.484351e-01 2.992946e-02
3.072113e-03 1.719799e+01 1.212914e-01 1.445390e-01 2.898256e-02
3.217642e-03 1.716661e+01 1.189116e-01 1.405072e-01 2.806269e-02
3.370064e-03 1.713482e+01 1.165884e-01 1.364028e-01 2.716979e-02
3.529707e-03 1.710275e+01 1.143224e-01 1.322890e-01 2.630377e-02
3.696913e-03 1.707056e+01 1.121141e-01 1.282288e-01 2.546459e-02
3.872039e-03 1.703837e+01 1.099639e-01 1.242856e-01 2.465216e-02
4.055461e-03 1.700634e+01 1.078724e-01 1.205224e-01 2.386643e-02
4.247572e-03 1.697461e+01 1.058400e-01 1.170023e-01 2.310731e-02
4.448783e-03 1.694331e+01 1.038672e-01 1.137886e-01 2.237476e-02
4.659526e-03 1.691258e+01 1.019546e-01 1.109444e-01 2.166869e-02
4.880252e-03 1.688258e+01 1.001027e-01 1.085329e-01 2.098904e-02
5.111433e-03 1.685335e+01 9.831119e-02 1.065760e-01 2.033491e-02
5.353567e-03 1.682445e+01 9.657514e-02 1.048340e-01 1.970065e-02
5.607170e-03 1.679571e+01 9.489132e-02 1.032377e-01 1.908510e-02
5.872787e-03 1.676711e+01 9.325721e-02 1.017640e-01 1.848810e-02
6.150986e-03 1.673858e+01 9.167030e-02 1.003895e-01 1.790950e-02
6.442364e-03 1.671007e+01 9.012806e-02 9.909101e-02 1.734915e-02
6.747544e-03 1.668155e+01 8.862799e-02 9.784513e-02 1.680688e-02
7.067181e-03 1.665295e+01 8.716756e-02 9.662865e-02 1.628254e-02
7.401960e-03 1.662422e+01 8.574424e-02 9.541826e-02 1.577597e-02
7.752597e-03 1.659533e+01 8.435553e-02 9.419068e-02 1.528703e-02
8.119845e-03 1.656621e+01 8.299891e-02 9.292264e-02 1.481554e-02
8.504489e-03 1.653681e+01 8.167185e-02 9.159085e-02 1.436136e-02
8.907355e-03 1.650710e+01 8.037184e-02 9.017203e-02 1.392434e-02
9.329304e-03 1.647701e+01 7.909637e-02 8.864290e-02 1.350431e-02
9.771242e-03 1.644649e+01 7.784290e-02 8.698016e-02 1.310111e-02
1.023411e-02 1.641555e+01 7.661044e-02 8.511907e-02 1.271367e-02
1.071891e-02 1.638440e+01 7.540592e-02 8.282831e-02 1.233637e-02
1.122668e-02 1.635305e+01 7.422925e-02 8.014733e-02 1.196852e-02
1.175850e-02 1.632149e+01 7.307889e-02 7.716156e-02 1.161040e-02
1.231551e-02 1.628968e+01 7.195328e-02 7.395646e-02 1.126227e-02
1.289890e-02 1.625760e+01 7.085085e-02 7.061748e-02 1.092439e-02
1.350994e-02 1.622522e+01 6.977005e-02 6.723005e-02 1.059704e-02
1.414991e-02 1.619252e+01 6.870933e-02 6.387963e-02 1.028047e-02
1.482021e-02 1.615948e+01 6.766712e-02 6.065165e-02 9.974963e-03
1.552225e-02 1.612606e+01 6.664188e-02 5.763158e-02 9.680774e-03
1.625756e-02 1.609225e+01 6.563204e-02 5.490484e-02 9.398173e-03
1.702769e-02 1.605802e+01 6.463605e-02 5.255690e-02 9.127426e-03
1.783431e-02 1.602333e+01 6.365235e-02 5.067319e-02 8.868799e-03
1.867914e-02 1.598818e+01 6.267939e-02 4.933916e-02 8.622559e-03
1.956398e-02 1.595252e+01 6.171560e-02 4.864026e-02 8.388972e-03
2.049075e-02 1.591618e+01 6.075853e-02 4.857955e-02 8.167262e-03
2.146141e-02 1.587833e+01 5.980291e-02 4.875252e-02 7.951893e-03
2.247806e-02 1.583903e+01 5.884939e-02 4.907736e-02 7.741983e-03
2.354286e-02 1.579849e+01 5.789948e-02 4.953650e-02 7.537503e-03
2.465811e-02 1.575691e+01 5.695471e-02 5.011237e-02 7.338421e-03
2.582619e-02 1.571449e+01 5.601659e-02 5.078737e-02 7.144708e-03
2.704960e-02 1.567145e+01 5.508664e-02 5.154393e-02 6.956333e-03
2.833096e-02 1.562797e+01 5.416638e-02 5.236447e-02 6.773265e-03
2.967302e-02 1.558426e+01 5.325731e-02 5.323142e-02 6.595475e-03
3.107866e-02 1.554054e+01 5.236097e-02 5.412718e-02 6.422932e-03
3.255089e-02 1.549700e+01 5.147886e-02 5.503419e-02 6.255605e-03
3.409285e-02 1.545384e+01 5.061250e-02 5.593485e-02 6.093465e-03
3.570786e-02 1.541128e+01 4.976342e-02 5.681160e-02 5.936481e-03
3.739937e-02 1.536951e+01 4.893312e-02 5.764686e-02 5.784622e-03
3.917101e-02 1.532873e+01 4.812312e-02 5.842303e-02 5.637858e-03
4.102658e-02 1.528916e+01 4.733494e-02 5.912255e-02 5.496159e-03
4.297005e-02 1.525100e+01 4.657011e-02 5.972784e-02 5.359494e-03
4.500558e-02 1.521444e+01 4.583012e-02 6.022131e-02 5.227833e-03
4.713753e-02 1.517970e+01 4.511651e-02 6.058538e-02 5.101146e-03
4.937048e-02 1.514697e+01 4.443078e-02 6.080248e-02 4.979402e-03
5.170920e-02 1.511619e+01 4.376992e-02 6.089978e-02 4.862162e-03
5.415871e-02 1.508665e+01 4.312291e-02 6.098689e-02 4.748328e-03
5.672426e-02 1.505821e+01 4.248959e-02 6.106963e-02 4.637850e-03
5.941134e-02 1.503076e+01 4.187043e-02 6.114771e-02 4.530735e-03
6.222571e-02 1.500417e+01 4.126592e-02 6.122081e-02 4.426993e-03
6.517340e-02 1.497832e+01 4.067654e-02 6.128862e-02 4.326631e-03
6.826072e-02 1.495311e+01 4.010276e-02 6.135083e-02 4.229656e-03
7.149429e-02 1.492840e+01 3.954506e-02 6.140713e-02 4.136078e-03
7.488104e-02 1.490410e+01 3.900393e-02 6.145721e-02 4.045903e-03
7.842822e-02 1.488007e+01 3.847982e-02 6.150076e-02 3.959140e-03
8.214344e-02 1.485621e+01 3.797324e-02 6.153747e-02 3.875798e-03
8.603464e-02 1.483239e+01 3.748465e-02 6.156703e-02 3.795883e-03
9.011018e-02 1.480850e+01 3.701453e-02 6.158913e-02 3.719404e-03
9.437878e-02 1.478443e+01 3.656336e-02 6.160346e-02 3.646369e-03
9.884959e-02 1.476005e+01 3.613161e-02 6.160971e-02 3.576785e-03
1.035322e-01 1.473494e+01 3.571664e-02 6.160469e-02 3.510294e-03
1.084366e-01 1.470849e+01 3.531117e-02 6.158141e-02 3.445977e-03
1.135733e-01 1.468102e+01 3.491525e-02 6.153995e-02 3.383747e-03
1.189534e-01 1.465287e+01 3.452927e-02 6.148071e-02 3.323558e-03
1.245883e-01 1.462440e+01 3.415361e-02 6.140408e-02 3.265365e-03
1.304902e-01 1.459597e+01 3.378865e-02 6.131046e-02 3.209122e-03
1.366716e-01 1.456793e+01 3.343478e-02 6.120026e-02 3.154783e-03
1.431459e-01 1.454064e+01 3.309239e-02 6.107387e-02 3.102302e-03
1.499268e-01 1.451445e+01 3.276185e-02 6.093170e-02 3.051634e-03
1.570290e-01 1.448972e+01 3.244356e-02 6.077413e-02 3.002732e-03
1.644676e-01 1.446679e+01 3.213789e-02 6.060158e-02 2.955551e-03
1.722586e-01 1.444603e+01 3.184523e-02 6.041444e-02 2.910044e-03
1.804186e-01 1.442779e+01 3.156597e-02 6.021312e-02 2.866167e-03
1.889652e-01 1.441242e+01 3.130050e-02 5.999800e-02 2.823872e-03
1.979167e-01 1.440028e+01 3.104919e-02 5.976949e-02 2.783115e-03
2.072922e-01 1.439129e+01 3.081438e-02 5.938610e-02 2.743835e-03
2.171118e-01 1.438432e+01 3.059854e-02 5.859339e-02 2.705999e-03
2.273966e-01 1.437876e+01 3.039787e-02 5.750285e-02 2.669650e-03
2.381686e-01 1.437402e+01 3.020834e-02 5.623918e-02 2.634835e-03
2.494508e-01 1.436950e+01 3.002596e-02 5.492705e-02 2.601598e-03
2.612675e-01 1.436462e+01 2.984671e-02 5.369115e-02 2.569984e-03
2.736440e-01 1.435879e+01 2.966657e-02 5.265617e-02 2.540040e-03
2.866068e-01 1.435141e+01 2.948154e-02 5.194678e-02 2.511809e-03
3.001836e-01 1.434190e+01 2.928759e-02 5.168767e-02 2.485338e-03
3.144035e-01 1.432485e+01 2.907928e-02 5.201202e-02 2.460594e-03
3.292971e-01 1.429821e+01 2.885997e-02 5.281424e-02 2.437400e-03
3.448962e-01 1.426598e+01 2.863862e-02 5.386620e-02 2.415581e-03
3.612343e-01 1.423220e+01 2.842416e-02 5.493976e-02 2.394962e-03
3.783463e-01 1.420088e+01 2.822556e-02 5.580675e-02 2.375368e-03
3.962689e-01 1.417605e+01 2.805175e-02 5.623905e-02 2.356626e-03
4.150405e-01 1.415785e+01 2.790109e-02 5.570219e-02 2.338662e-03
4.347013e-01 1.414073e+01 2.775866e-02 5.388857e-02 2.321599e-03
4.552935e-01 1.412562e+01 2.762936e-02 5.157872e-02 2.305428e-03
4.768612e-01 1.411365e+01 2.751875e-02 4.958002e-02 2.290135e-03
4.994505e-01 1.410596e+01 2.743239e-02 4.869983e-02 2.275706e-03
5.231099e-01 1.410115e+01 2.736661e-02 4.869523e-02 2.262217e-03
5.478901e-01 1.409712e+01 2.731176e-02 4.869337e-02 2.249590e-03
5.738442e-01 1.409438e+01 2.726556e-02 4.869142e-02 2.237560e-03
6.010277e-01 1.409342e+01 2.722576e-02 4.868648e-02 2.225856e-03
6.294989e-01 1.410542e+01 2.719333e-02 4.829623e-02 2.213043e-03
6.593188e-01 1.412805e+01 2.716601e-02 4.741803e-02 2.200395e-03
6.905514e-01 1.414438e+01 2.713742e-02 4.638084e-02 2.191338e-03
7.232634e-01 1.412948e+01 2.710051e-02 4.520164e-02 2.187668e-03
7.575250e-01 1.407776e+01 2.705688e-02 4.366088e-02 2.185679e-03
7.934097e-01 1.404010e+01 2.702042e-02 4.271652e-02 2.183426e-03
8.309942e-01 1.404901e+01 2.699570e-02 4.296834e-02 2.178954e-03
8.703591e-01 1.407197e+01 2.697619e-02 4.360484e-02 2.172908e-03
9.115888e-01 1.408004e+01 2.697092e-02 4.377158e-02 2.168415e-03
9.547716e-01 1.407844e+01 2.697127e-02 4.275397e-02 2.165246e-03
1.000000e+00 1.407091e+01 2.697290e-02 4.088166e-02 2.163014e-03
