# H and K (a/a_h = 0.1) at Tmax(q)
# PCHIP-interpolated in log(q) from discrete datapoints
# q            H            sH           K            sK
3.872039e-03 2.085848e+01 1.228721e-01 5.742614e-01 2.671357e-02
4.055461e-03 2.080641e+01 1.199753e-01 5.628744e-01 2.586626e-02
4.247572e-03 2.075622e+01 1.171982e-01 5.517855e-01 2.504672e-02
4.448783e-03 2.070840e+01 1.145512e-01 5.410079e-01 2.425455e-02
4.659526e-03 2.066344e+01 1.120444e-01 5.305542e-01 2.348933e-02
4.880252e-03 2.062182e+01 1.096881e-01 5.204376e-01 2.275067e-02
5.111433e-03 2.058381e+01 1.074836e-01 5.106697e-01 2.203755e-02
5.353567e-03 2.054802e+01 1.053771e-01 5.012398e-01 2.134557e-02
5.607170e-03 2.051390e+01 1.033534e-01 4.921208e-01 2.067379e-02
5.872787e-03 2.048119e+01 1.014071e-01 4.832851e-01 2.002204e-02
6.150986e-03 2.044961e+01 9.953294e-02 4.747053e-01 1.939014e-02
6.442364e-03 2.041890e+01 9.772569e-02 4.663540e-01 1.877791e-02
6.747544e-03 2.038876e+01 9.598005e-02 4.582037e-01 1.818518e-02
7.067181e-03 2.035893e+01 9.429074e-02 4.502268e-01 1.761177e-02
7.401960e-03 2.032914e+01 9.265249e-02 4.423959e-01 1.705750e-02
7.752597e-03 2.029912e+01 9.106002e-02 4.346836e-01 1.652220e-02
8.119845e-03 2.026858e+01 8.950804e-02 4.270623e-01 1.600569e-02
8.504489e-03 2.023725e+01 8.799130e-02 4.195047e-01 1.550780e-02
8.907355e-03 2.020486e+01 8.650449e-02 4.119832e-01 1.502834e-02
9.329304e-03 2.017114e+01 8.504236e-02 4.044703e-01 1.456714e-02
9.771242e-03 2.013581e+01 8.359962e-02 3.969386e-01 1.412403e-02
1.023411e-02 2.009864e+01 8.217338e-02 3.893435e-01 1.369785e-02
1.071891e-02 2.005977e+01 8.077444e-02 3.815860e-01 1.328271e-02
1.122668e-02 2.001941e+01 7.940444e-02 3.737012e-01 1.287789e-02
1.175850e-02 1.997773e+01 7.806286e-02 3.657448e-01 1.248367e-02
1.231551e-02 1.993490e+01 7.674917e-02 3.577722e-01 1.210031e-02
1.289890e-02 1.989111e+01 7.546281e-02 3.498392e-01 1.172809e-02
1.350994e-02 1.984652e+01 7.420327e-02 3.420014e-01 1.136729e-02
1.414991e-02 1.980131e+01 7.297000e-02 3.343143e-01 1.101817e-02
1.482021e-02 1.975566e+01 7.176247e-02 3.268337e-01 1.068102e-02
1.552225e-02 1.970974e+01 7.058015e-02 3.196151e-01 1.035609e-02
1.625756e-02 1.966372e+01 6.942250e-02 3.127141e-01 1.004367e-02
1.702769e-02 1.961779e+01 6.828898e-02 3.061864e-01 9.744037e-03
1.783431e-02 1.957212e+01 6.717907e-02 3.000876e-01 9.457453e-03
1.867914e-02 1.952688e+01 6.609222e-02 2.944733e-01 9.184195e-03
1.956398e-02 1.948224e+01 6.502790e-02 2.893991e-01 8.924536e-03
2.049075e-02 1.943827e+01 6.398452e-02 2.848630e-01 8.677632e-03
2.146141e-02 1.939436e+01 6.295603e-02 2.805795e-01 8.437528e-03
2.247806e-02 1.935043e+01 6.194167e-02 2.764908e-01 8.203298e-03
2.354286e-02 1.930648e+01 6.094157e-02 2.725839e-01 7.974928e-03
2.465811e-02 1.926251e+01 5.995587e-02 2.688461e-01 7.752404e-03
2.582619e-02 1.921853e+01 5.898469e-02 2.652647e-01 7.535714e-03
2.704960e-02 1.917454e+01 5.802819e-02 2.618268e-01 7.324844e-03
2.833096e-02 1.913054e+01 5.708648e-02 2.585196e-01 7.119782e-03
2.967302e-02 1.908654e+01 5.615972e-02 2.553303e-01 6.920513e-03
3.107866e-02 1.904254e+01 5.524802e-02 2.522461e-01 6.727025e-03
3.255089e-02 1.899854e+01 5.435153e-02 2.492543e-01 6.539304e-03
3.409285e-02 1.895455e+01 5.347039e-02 2.463420e-01 6.357337e-03
3.570786e-02 1.891056e+01 5.260472e-02 2.434965e-01 6.181111e-03
3.739937e-02 1.886659e+01 5.175466e-02 2.407048e-01 6.010613e-03
3.917101e-02 1.882264e+01 5.092035e-02 2.379544e-01 5.845829e-03
4.102658e-02 1.877871e+01 5.010192e-02 2.352322e-01 5.686746e-03
4.297005e-02 1.873481e+01 4.929951e-02 2.325257e-01 5.533351e-03
4.500558e-02 1.869093e+01 4.851325e-02 2.298218e-01 5.385630e-03
4.713753e-02 1.864708e+01 4.774328e-02 2.271079e-01 5.243571e-03
4.937048e-02 1.860327e+01 4.698973e-02 2.243712e-01 5.107161e-03
5.170920e-02 1.855931e+01 4.625133e-02 2.216255e-01 4.975954e-03
5.415871e-02 1.851477e+01 4.552463e-02 2.189334e-01 4.848781e-03
5.672426e-02 1.846978e+01 4.480989e-02 2.162947e-01 4.725537e-03
5.941134e-02 1.842448e+01 4.410760e-02 2.137060e-01 4.606179e-03
6.222571e-02 1.837901e+01 4.341822e-02 2.111636e-01 4.490665e-03
6.517340e-02 1.833353e+01 4.274222e-02 2.086638e-01 4.378949e-03
6.826072e-02 1.828817e+01 4.208007e-02 2.062030e-01 4.270990e-03
7.149429e-02 1.824308e+01 4.143225e-02 2.037775e-01 4.166742e-03
7.488104e-02 1.819841e+01 4.079921e-02 2.013838e-01 4.066164e-03
7.842822e-02 1.815430e+01 4.018145e-02 1.990181e-01 3.969212e-03
8.214344e-02 1.811090e+01 3.957941e-02 1.966770e-01 3.875841e-03
8.603464e-02 1.806835e+01 3.899359e-02 1.943566e-01 3.786010e-03
9.011018e-02 1.802681e+01 3.842443e-02 1.920534e-01 3.699673e-03
9.437878e-02 1.798640e+01 3.787243e-02 1.897637e-01 3.616789e-03
9.884959e-02 1.794729e+01 3.733804e-02 1.874839e-01 3.537313e-03
1.035322e-01 1.790937e+01 3.681867e-02 1.852193e-01 3.460904e-03
1.084366e-01 1.787212e+01 3.630737e-02 1.829884e-01 3.386793e-03
1.135733e-01 1.783548e+01 3.580456e-02 1.807887e-01 3.314910e-03
1.189534e-01 1.779946e+01 3.531097e-02 1.786170e-01 3.245217e-03
1.245883e-01 1.776403e+01 3.482736e-02 1.764698e-01 3.177678e-03
1.304902e-01 1.772919e+01 3.435445e-02 1.743437e-01 3.112254e-03
1.366716e-01 1.769490e+01 3.389300e-02 1.722355e-01 3.048908e-03
1.431459e-01 1.766117e+01 3.344374e-02 1.701417e-01 2.987604e-03
1.499268e-01 1.762798e+01 3.300743e-02 1.680590e-01 2.928304e-03
1.570290e-01 1.759530e+01 3.258479e-02 1.659840e-01 2.870970e-03
1.644676e-01 1.756314e+01 3.217659e-02 1.639133e-01 2.815565e-03
1.722586e-01 1.753147e+01 3.178355e-02 1.618436e-01 2.762053e-03
1.804186e-01 1.750027e+01 3.140642e-02 1.597715e-01 2.710395e-03
1.889652e-01 1.746954e+01 3.104595e-02 1.576937e-01 2.660555e-03
1.979167e-01 1.743926e+01 3.070287e-02 1.556067e-01 2.612495e-03
2.072922e-01 1.740971e+01 3.037962e-02 1.534752e-01 2.566228e-03
2.171118e-01 1.738141e+01 3.007814e-02 1.512500e-01 2.521827e-03
2.273966e-01 1.735407e+01 2.979446e-02 1.489754e-01 2.479243e-03
2.381686e-01 1.732736e+01 2.952441e-02 1.466988e-01 2.438428e-03
2.494508e-01 1.730096e+01 2.926382e-02 1.444678e-01 2.399331e-03
2.612675e-01 1.727456e+01 2.900852e-02 1.423296e-01 2.361900e-03
2.736440e-01 1.724783e+01 2.875435e-02 1.403318e-01 2.326086e-03
2.866068e-01 1.722046e+01 2.849713e-02 1.385219e-01 2.291838e-03
3.001836e-01 1.719212e+01 2.823271e-02 1.369472e-01 2.259105e-03
3.144035e-01 1.716234e+01 2.795585e-02 1.356450e-01 2.227852e-03
3.292971e-01 1.713133e+01 2.767036e-02 1.345510e-01 2.198057e-03
3.448962e-01 1.709980e+01 2.738538e-02 1.335622e-01 2.169695e-03
3.612343e-01 1.706844e+01 2.711003e-02 1.325753e-01 2.142741e-03
3.783463e-01 1.703795e+01 2.685345e-02 1.314869e-01 2.117170e-03
3.962689e-01 1.700905e+01 2.662475e-02 1.301940e-01 2.092955e-03
4.150405e-01 1.698141e+01 2.642231e-02 1.284834e-01 2.069916e-03
4.347013e-01 1.695388e+01 2.623094e-02 1.262598e-01 2.047871e-03
4.552935e-01 1.692751e+01 2.605558e-02 1.238488e-01 2.027086e-03
4.768612e-01 1.690342e+01 2.590181e-02 1.215859e-01 2.007842e-03
4.994505e-01 1.688273e+01 2.577522e-02 1.198069e-01 1.990419e-03
5.231099e-01 1.686425e+01 2.567782e-02 1.184944e-01 1.975020e-03
5.478901e-01 1.684702e+01 2.559866e-02 1.173600e-01 1.961163e-03
5.738442e-01 1.683284e+01 2.552401e-02 1.163756e-01 1.948093e-03
6.010277e-01 1.682350e+01 2.544012e-02 1.155133e-01 1.935053e-03
6.294989e-01 1.681892e+01 2.533720e-02 1.147601e-01 1.920912e-03
6.593188e-01 1.681593e+01 2.522688e-02 1.141000e-01 1.906887e-03
6.905514e-01 1.681146e+01 2.512732e-02 1.135037e-01 1.895546e-03
7.232634e-01 1.679298e+01 2.505107e-02 1.129671e-01 1.888458e-03
7.575250e-01 1.675085e+01 2.498743e-02 1.124984e-01 1.883348e-03
7.934097e-01 1.672161e+01 2.492710e-02 1.120048e-01 1.878538e-03
8.309942e-01 1.672102e+01 2.485447e-02 1.114723e-01 1.872923e-03
8.703591e-01 1.672206e+01 2.478249e-02 1.108764e-01 1.867230e-03
9.115888e-01 1.672354e+01 2.476132e-02 1.099333e-01 1.862411e-03
9.547716e-01 1.672644e+01 2.476252e-02 1.080044e-01 1.858365e-03
1.000000e+00 1.673050e+01 2.476818e-02 1.053174e-01 1.854986e-03
