# evolve: q=0.2 e0=0.5 Vx0=0 Vy0=0 varpi0=0 xi=[0.510826,10] chandrasekhar=integral
xi a_over_ah e sig_e Vx sig_Vx Vy sig_Vy varpi sig_varpi t sig_t x sig_x y sig_y C_xx C_xy C_yy C_VxVx C_VxVy C_VyVy
6.379279222011083e-01 5.283861477173780e-01 5.096724717171948e-01 3.052653690090344e-04 -3.127878463733180e-03 9.467984865335051e-05 -6.762040089016416e-04 9.437724715770207e-05 -2.300319726365685e-01 4.055136389607535e-03 1.456727899075366e-02 2.118641326496626e-05 -2.769767317103041e-05 8.234262155333225e-07 -7.806593753666720e-06 8.187643336196189e-07 6.780307324275297e-13 -1.290337157002754e-15 6.703750340075786e-13 8.964273741021357e-09 -3.072786734381776e-11 8.907064781065984e-09
6.495755567470183e-01 5.222674025991785e-01 5.106014970699686e-01 3.349722780956326e-04 -3.261803324287628e-03 9.943025301163459e-05 -6.498457825882966e-04 9.915230702936440e-05 -2.509208133717208e-01 4.169348092733007e-03 1.598695032176632e-02 2.335344205934521e-05 -3.223547001964936e-05 9.484834252540770e-07 -8.748654881790408e-06 9.433949718221856e-07 8.996208079817063e-13 -1.960990212978256e-15 8.899940728593823e-13 9.886375213957671e-09 -3.357424735365353e-11 9.831179989245345e-09
6.607059111660293e-01 5.164866121094509e-01 5.114978811802133e-01 3.625445661803898e-04 -3.374700309170445e-03 1.025168147579343e-04 -6.190016755673020e-04 1.022874094637385e-04 -2.708405554607413e-01 4.266100194962811e-03 1.735683166887548e-02 2.535456825474568e-05 -3.678279918783933e-05 1.073399776636922e-06 -9.618275764557924e-06 1.067980136189547e-06 1.152187080484193e-12 -2.784760213933727e-15 1.140581571295442e-12 1.050969730811262e-08 -3.303290618256027e-11 1.046271413480251e-08
6.760462114317927e-01 5.086240138932968e-01 5.127475133584579e-01 3.979851157179955e-04 -3.508745167874387e-03 1.043116079527695e-04 -5.691077449035156e-04 1.041940162744046e-04 -2.982254522286545e-01 4.383172278810617e-03 1.926617814143350e-02 2.793213477163708e-05 -4.335827422343200e-05 1.251398004177006e-06 -1.075366773221379e-05 1.245687885636487e-06 1.565996964858194e-12 -4.203128533021272e-15 1.551738308421501e-12 1.088091155369228e-08 -2.794746543232911e-11 1.085639302739089e-08
6.915085579865697e-01 5.008199829244758e-01 5.140240024532005e-01 4.300025324408637e-04 -3.621513779732824e-03 1.035366190287269e-04 -5.117413851594127e-04 1.035829756930437e-04 -3.257450645909398e-01 4.485187970593934e-03 2.121592325733227e-02 3.026958000506993e-05 -5.031300915982056e-05 1.433309807421544e-06 -1.180826953003597e-05 1.427573999086021e-06 2.054377004050784e-12 -5.898614452720003e-15 2.037967522866455e-12 1.071983147989973e-08 -1.785565637759070e-11 1.072943285342569e-08
7.072651082890788e-01 4.929906314376488e-01 5.153423902651816e-01 4.584476495821336e-04 -3.716279857761248e-03 1.007967552309584e-04 -4.473579078287941e-04 1.010541780977606e-04 -3.537017019483198e-01 4.576233492721351e-03 2.322909461076277e-02 3.236292912618543e-05 -5.770252638345534e-05 1.616122457565430e-06 -1.277445075392339e-05 1.610720308154482e-06 2.611851797847325e-12 -7.753862064339439e-15 2.594419911101271e-12 1.015998586508973e-08 -3.720994305445996e-12 1.021194691101392e-08
7.233028589584207e-01 4.851472339505859e-01 5.167025278800724e-01 4.831934360311662e-04 -3.794457251854682e-03 9.709284972877023e-05 -3.767010689947792e-04 9.758979946219946e-05 -3.820687417287992e-01 4.660279831917321e-03 2.530587813996102e-02 3.421554339492892e-05 -6.550478525232078e-05 1.794672305571512e-06 -1.363080814957912e-05 1.790064363422873e-06 3.220848684385367e-12 -9.553194631025701e-15 3.204330425196536e-12 9.427021468453557e-09 1.216595692570893e-11 9.523768959072305e-09
7.396010837163960e-01 4.773042819986892e-01 5.181033526748279e-01 5.046087882024301e-04 -3.857283151791630e-03 9.375988524755196e-05 -3.002721748108956e-04 9.448905385820283e-05 -4.108088149985557e-01 4.743367688096497e-03 2.744551810510025e-02 3.587300828398575e-05 -7.369373288815229e-05 1.964446373864876e-06 -1.435564965628835e-05 1.961185529867224e-06 3.859049555790860e-12 -1.102328272923034e-14 3.846248682560582e-12 8.790916081634111e-09 2.651498743843375e-11 8.928181299018355e-09
7.561338414724961e-01 4.694779992108863e-01 5.195430250577915e-01 5.235171809792762e-04 -3.905816115025625e-03 9.213417935406851e-05 -2.183264636822931e-04 9.304042021320025e-05 -4.398792747781554e-01 4.833566727837386e-03 2.964660629650573e-02 3.741868196342543e-05 -8.224014657690919e-05 2.122353561239236e-06 -1.492697919252549e-05 2.121063778798265e-06 4.504384638904867e-12 -1.188753281179972e-14 4.498911553729975e-12 8.488707005247664e-09 3.577082568209421e-11 8.656519793448882e-09
7.680256647018278e-01 4.639281143621314e-01 5.205894741355533e-01 5.356665797344106e-04 -3.931993377545690e-03 9.229486080864585e-05 -1.564094871928269e-04 9.325813954257469e-05 -4.607470964638076e-01 4.905746042445379e-03 3.124950274792315e-02 3.849275823020349e-05 -8.852277072904554e-05 2.226882751504104e-06 -1.522765817816112e-05 2.227366630699191e-06 4.959006788946487e-12 -1.196625795436200e-14 4.961162107552267e-12 8.518341331687311e-09 3.294529901997379e-11 8.697080590942332e-09
7.803811617271736e-01 4.582313177735668e-01 5.216843384963884e-01 5.476149239144376e-04 -3.951386005945727e-03 9.250839617981397e-05 -8.824380952920517e-05 9.349983411654110e-05 -4.824154688385165e-01 4.983704876447359e-03 3.293343570396488e-02 3.961144525421505e-05 -9.516142989074886e-05 2.328725972891752e-06 -1.543409274867770e-05 2.331326540263388e-06 5.422964656820635e-12 -1.166083955855010e-14 5.435083437336458e-12 8.557803363761421e-09 2.326483350004520e-11 8.742218979820704e-09
7.969292875154999e-01 4.507108447702263e-01 5.231621438787611e-01 5.631155330034796e-04 -3.965787056103447e-03 9.164607848690077e-05 8.941430363805260e-06 9.270437462856198e-05 -5.114311819523013e-01 5.088398190110912e-03 3.521923000677615e-02 4.109993197202073e-05 -1.042124027200064e-04 2.456987056490795e-06 -1.552566813539594e-05 2.462871470535499e-06 6.036785395763300e-12 -1.090711712397996e-14 6.065735880377691e-12 8.399003702027177e-09 1.273711539439373e-11 8.594101075272766e-09
8.134526859134215e-01 4.433247595805610e-01 5.246505219452914e-01 5.775126526356792e-04 -3.968136408959238e-03 8.914828134428590e-05 1.120440656479866e-04 9.032252377662557e-05 -5.404111452834862e-01 5.189181055533042e-03 3.753725887418631e-02 4.251392298328868e-05 -1.134101476289927e-04 2.577791343445382e-06 -1.538623507885954e-05 2.587427565963963e-06 6.645008210341950e-12 -9.886555105824429e-15 6.694781409110198e-12 7.947416066639953e-09 6.248024608900082e-12 8.158158301379091e-09
8.301257908542816e-01 4.359944387590335e-01 5.261652856389598e-01 5.908079888281501e-04 -3.959481165912979e-03 8.564863442724771e-05 2.215007758435724e-04 8.698180816555919e-05 -5.696748692012799e-01 5.285854363970832e-03 3.991329757183114e-02 4.384376969222814e-05 -1.228303723510063e-04 2.693050713941005e-06 -1.499064261164421e-05 2.706929004314287e-06 7.252522147858157e-12 -8.660044755013130e-15 7.327464634397936e-12 7.335688579252322e-09 3.325717227976708e-12 7.565834951750140e-09
8.469528344715243e-01 4.287193223331286e-01 5.277073816709357e-01 6.033711019983936e-04 -3.940525329868401e-03 8.251883081544461e-05 3.367835312432546e-04 8.402396842624590e-05 -5.992416301294513e-01 5.381441960154523e-03 4.234980600548292e-02 4.512016580810360e-05 -1.324565202451285e-04 2.802432853203662e-06 -1.431104762037462e-05 2.821059425376461e-06 7.853629896715216e-12 -7.238946148425799e-15 7.958376281505370e-12 6.809357439147972e-09 2.456101651774743e-12 7.060027270094767e-09
8.639273259218684e-01 4.215034460372248e-01 5.292770331216401e-01 6.160516936493269e-04 -3.911847885940872e-03 8.129412126125632e-05 4.572987712027709e-04 8.293918931242725e-05 -6.291092555109068e-01 5.482965630543202e-03 4.484765039538986e-02 4.642614848058830e-05 -1.422653484521206e-04 2.905615081360122e-06 -1.331970851489110e-05 2.929530050962552e-06 8.442599001027387e-12 -5.607472894810964e-15 8.582146319492651e-12 6.608734151639847e-09 2.007945818961534e-12 6.878909123802646e-09
8.704807687314422e-01 4.187501788529447e-01 5.298869515148216e-01 6.211831673482298e-04 -3.898354991460475e-03 8.154580534271056e-05 5.048243351856472e-04 8.322843842004534e-05 -6.406527564989364e-01 5.525431384753460e-03 4.582289754880581e-02 4.695890593241338e-05 -1.460738874770561e-04 2.943666989826294e-06 -1.285057261080754e-05 2.969764839632554e-06 8.665175346992994e-12 -4.921694823742526e-15 8.819503202717767e-12 6.649718368991243e-09 1.770570902609607e-12 6.926972961839278e-09
8.858620836041837e-01 4.123585324751303e-01 5.313295172256340e-01 6.359062654516032e-04 -3.861006345260545e-03 8.267907177489477e-05 6.188373287106756e-04 8.447636191983737e-05 -6.677002481195475e-01 5.636158857376264e-03 4.813563768217306e-02 4.829040167029988e-05 -1.550480881197655e-04 3.029783001188887e-06 -1.155160607136080e-05 3.061422079272897e-06 9.179585034293140e-12 -3.447524248108027e-15 9.372305147459590e-12 6.835828909558201e-09 2.840446328285196e-12 7.136255723211350e-09
8.998262189974990e-01 4.066403199631796e-01 5.326545001727223e-01 6.497069712495493e-04 -3.820025385703891e-03 8.272513979383160e-05 7.252171365098643e-04 8.466156161302310e-05 -6.921453610745133e-01 5.746454695346601e-03 5.026416706129617e-02 4.953706375822084e-05 -1.632238029089435e-04 3.105352614181894e-06 -1.012134771733902e-05 3.142491431895994e-06 9.643214858406321e-12 -2.170362904841956e-15 9.875252399539737e-12 6.843448753908980e-09 1.206162328875951e-11 7.167580014755707e-09
9.166320753584873e-01 3.998634859066907e-01 5.342683906397850e-01 6.656495656291813e-04 -3.762368316482592e-03 8.088260294180076e-05 8.557889343835196e-04 8.303949316945432e-05 -7.214474397303965e-01 5.897502952030511e-03 5.286265352708797e-02 5.099657589232076e-05 -1.730768810175096e-04 3.194135737934863e-06 -8.067272081510243e-06 3.238508045933536e-06 1.020250311235270e-11 -2.590622340394042e-16 1.048793436357625e-11 6.541995458640998e-09 3.319852805837482e-11 6.895557425839850e-09
9.335672935769074e-01 3.931487289354078e-01 5.359152363256261e-01 6.802097844581355e-04 -3.695825926025088e-03 7.761066547767444e-05 9.889202563481583e-04 8.002566858962229e-05 -7.508989326255339e-01 6.076524334224128e-03 5.552220031170570e-02 5.236747411086041e-05 -1.829961398415450e-04 3.281056372589273e-06 -5.613966351884556e-06 3.333423175937849e-06 1.076533092010868e-11 2.846952657896094e-15 1.111171006987958e-11 6.023415395887488e-09 6.188645859562568e-11 6.404107633216059e-09
9.508022883696100e-01 3.864308700621986e-01 5.376108276529198e-01 6.931954165557475e-04 -3.620368657209573e-03 7.454040289398209e-05 1.124659094567599e-03 7.719157511617011e-05 -7.808871178915647e-01 6.273380440478078e-03 5.827155805727621e-02 5.367255230013684e-05 -1.930549528244493e-04 3.365759314697909e-06 -2.707889657980398e-06 3.427005904190011e-06 1.132833576447574e-11 8.273052047734991e-15 1.174436946735319e-11 5.556271663597174e-09 9.294318117048537e-11 5.958539268915334e-09
9.683315675412904e-01 3.797160404627192e-01 5.393531916979787e-01 7.047981062254902e-04 -3.536768297340438e-03 7.364490245009981e-05 1.261640827559281e-03 7.641592450684549e-05 -8.115432761732398e-01 6.438527502429512e-03 6.111249646309355e-02 5.499711155720514e-05 -2.032226179985455e-04 3.446983417585603e-06 6.826999908707104e-07 3.518022223747850e-06 1.188169468111012e-11 1.730394055170508e-14 1.237648036678377e-11 5.423571656884718e-09 1.204224996535624e-10 5.839393518235910e-09
9.748209042243248e-01 3.772599131699366e-01 5.400021317166361e-01 7.085241902124356e-04 -3.504326086031921e-03 7.411177360513470e-05 1.311826347230338e-03 7.688648188224623e-05 -8.229683608927709e-01 6.474948556327509e-03 6.217571028985312e-02 5.551358017075640e-05 -2.069657603278648e-04 3.475783189222946e-06 2.050829733055111e-06 3.550634269093569e-06 1.208106877848484e-11 2.177134112165956e-14 1.260700371286163e-11 5.492554986898740e-09 1.276267494129841e-10 5.911531096228978e-09
9.821639538284798e-01 3.744998210625882e-01 5.407373596290549e-01 7.105034741033691e-04 -3.467163509096182e-03 7.486408135334129e-05 1.368201371913503e-03 7.764949647107749e-05 -8.360444534757004e-01 6.470390881359455e-03 6.338626785626980e-02 5.612502911289896e-05 -2.111854406186737e-04 3.507686421612837e-06 3.673073416906234e-06 3.586954731052143e-06 1.230386403236707e-11 2.766808195740297e-14 1.286624424261735e-11 5.604630676879703e-09 1.284328738942029e-10 6.029444302211877e-09
9.994406690320420e-01 3.680852650918449e-01 5.424651107090710e-01 7.146508920578274e-04 -3.379190457986042e-03 7.559938626517464e-05 1.499138549460399e-03 7.838871896129025e-05 -8.677916452508677e-01 6.346686475205841e-03 6.626570668138808e-02 5.762913297608554e-05 -2.210421693939251e-04 3.581081080197456e-06 7.802302926350285e-06 3.671043085376288e-06 1.282414170294818e-11 4.510135974209127e-14 1.347655733468905e-11 5.715267203671075e-09 1.301592453638337e-10 6.144791260392146e-09
1.016080444467335e+00 3.620110855831636e-01 5.441251000392481e-01 7.178902821471180e-04 -3.293267198220652e-03 7.410160563584244e-05 1.622814988150421e-03 7.688974070991979e-05 -8.997530364263447e-01 6.925697591335847e-03 6.908082477165793e-02 5.907201756731694e-05 -2.304341044581571e-04 3.650730508435776e-06 1.219766114515271e-05 3.751359070392433e-06 1.332783324522374e-11 6.668781880117588e-14 1.407269487501558e-11 5.491047957809916e-09 1.314573283618914e-10 5.912032226438696e-09
1.032304136118707e+00 3.561853148919237e-01 5.457395537502385e-01 7.205198551801087e-04 -3.207715173476431e-03 7.126353282154700e-05 1.740707095548380e-03 7.409891035003931e-05 -9.322350231379225e-01 9.405080978262651e-03 7.186561069620487e-02 6.040796387580915e-05 -2.394862257692313e-04 3.717689100087435e-06 1.688207668344608e-05 3.828992964286878e-06 1.382121224490892e-11 9.225206183893373e-14 1.466118712055841e-11 5.078491110207707e-09 1.457003897156992e-10 5.490648515063163e-09
1.048209442605922e+00 3.505648940372285e-01 5.473196297309919e-01 7.231892873709567e-04 -3.121530986309858e-03 6.897773886172041e-05 1.853099776204949e-03 7.202858886282188e-05 -9.652674728096352e-01 1.387466992597474e-02 7.463475295979477e-02 6.165169427217254e-05 -2.482498289181009e-04 3.781574395784360e-06 2.185913804701107e-05 3.903545241166044e-06 1.430030491085185e-11 1.218810249097407e-13 1.523766544983007e-11 4.757928458475694e-09 2.187624528535350e-10 5.188117613569428e-09
1.063827458010500e+00 3.451322997198918e-01 5.488708608572316e-01 7.268488143911267e-04 -3.034200827918786e-03 6.933909875245545e-05 1.959577395251937e-03 7.285806543367783e-05 -9.986940359824050e-01 1.977877186078177e-02 7.739213793950291e-02 6.286780753711329e-05 -2.567370692832229e-04 3.841987242232143e-06 2.711698235448493e-05 3.974634418934551e-06 1.476086596947455e-11 1.570793448900420e-13 1.579771876417920e-11 4.807910615802770e-09 4.381114557539320e-10 5.308297698738081e-09
1.070367523798109e+00 3.428824767884854e-01 5.495211214981266e-01 7.289630185747974e-04 -2.996758847163342e-03 7.066322984534282e-05 2.002779292433456e-03 7.443239801440988e-05 -1.012930785888158e+00 2.258672376456191e-02 7.855824015256538e-02 6.339687089382814e-05 -2.602534571356572e-04 3.866680557276298e-06 2.942735067661960e-05 4.003881738782939e-06 1.495121853201855e-11 1.747461643068881e-13 1.603106897815949e-11 4.993292052175748e-09 6.042348494680379e-10 5.540181874175528e-09
1.073803547994630e+00 3.417063460656303e-01 5.498630676360603e-01 7.302579451155147e-04 -2.976874665878635e-03 7.166901167156558e-05 2.025104065880414e-03 7.557074127416442e-05 -1.020456772090234e+00 2.412495687930572e-02 7.917362623892520e-02 6.368322758572322e-05 -2.620915070235420e-04 3.879567178550168e-06 3.066671960685129e-05 4.019186790810523e-06 1.505104149288371e-11 1.850535571733429e-13 1.615386245942580e-11 5.136447233979002e-09 7.148885879724426e-10 5.710936936726697e-09
1.077623766525173e+00 3.404034434213526e-01 5.502437701952240e-01 7.327295519475283e-04 -2.954580944250706e-03 7.301052389791048e-05 2.049511981784333e-03 7.699599834015938e-05 -1.028843231033194e+00 2.585932611104232e-02 7.986006551450824e-02 6.400510837213808e-05 -2.641273077751718e-04 3.893873202808749e-06 3.206525175003013e-05 4.036202680852191e-06 1.516224851955207e-11 1.975076166692359e-13 1.629093208091841e-11 5.330536599847357e-09 8.604364620094000e-10 5.928383760397826e-09
1.081551942020160e+00 3.390689018293452e-01 5.506366200051279e-01 7.365002763303017e-04 -2.931414206904653e-03 7.450818811677332e-05 2.073801572250647e-03 7.852214284441638e-05 -1.037431816321442e+00 2.761249584725193e-02 8.056843990647887e-02 6.433843879283350e-05 -2.662120609455212e-04 3.908612118659310e-06 3.352573192068698e-05 4.053733444364884e-06 1.527724869413042e-11 2.117062248406105e-13 1.643275483796239e-11 5.551470096444481e-09 1.036050374813393e-09 6.165726916878932e-09
1.095501514370258e+00 3.343718725924130e-01 5.520446048100504e-01 7.511318927927411e-04 -2.847519207750341e-03 8.031037301381756e-05 2.153225118646220e-03 8.446729092788404e-05 -1.067536202714539e+00 3.351730338657275e-02 8.310503835796505e-02 6.556116725496241e-05 -2.735417163182006e-04 3.962095220411587e-06 3.888933097714004e-05 4.117146236850919e-06 1.569819853560834e-11 2.788664061897690e-13 1.695089313561568e-11 6.449756013618514e-09 1.878020898147601e-09 7.134723236695801e-09
1.108963393746439e+00 3.299007610805614e-01 5.534243920657916e-01 7.664800061138166e-04 -2.765011769476700e-03 8.627192593917002e-05 2.219954515569506e-03 9.031482566421541e-05 -1.095860903508440e+00 3.855076013208245e-02 8.558456744077940e-02 6.674636718098194e-05 -2.804999173843583e-04 4.017531011465979e-06 4.431319081948063e-05 4.182144334239500e-06 1.614055542809085e-11 3.817466750152235e-13 1.749033123241155e-11 7.442845205253639e-09 3.016536541524960e-09 8.156767734757623e-09
1.122581492230147e+00 3.254385921143910e-01 5.548431754392126e-01 7.824985122569678e-04 -2.681090781091013e-03 9.269481076050384e-05 2.278056827227606e-03 9.600950598692804e-05 -1.123636019471924e+00 4.278407670792524e-02 8.812504669632121e-02 6.789668291961557e-05 -2.874175325509589e-04 4.080200988440335e-06 5.002882840300935e-05 4.254263147715553e-06 1.664804010606949e-11 5.467262418039295e-13 1.809875493001065e-11 8.592327941925617e-09 4.439127929044130e-09 9.217825239853971e-09
1.136421637999909e+00 3.209655000846558e-01 5.563100612138783e-01 7.986803334249845e-04 -2.596346672063994e-03 9.979147445208171e-05 2.328269310507751e-03 1.015386462874331e-04 -1.150852241967701e+00 4.606237034479697e-02 9.074066205917557e-02 6.899298963325312e-05 -2.943189423856063e-04 4.153532764859297e-06 5.605498564331792e-05 4.336414883056310e-06 1.725183442875972e-11 8.061888734407686e-13 1.880449403799227e-11 9.958338373320476e-09 6.044048958931397e-09 1.031009668988445e-08
1.150611859769862e+00 3.164430913361548e-01 5.578406642462689e-01 8.147240773360178e-04 -2.510935337985155e-03 1.076374636428490e-04 2.371763075023175e-03 1.069391094174748e-04 -1.177644086324237e+00 4.826774355990147e-02 9.345825388569881e-02 7.006074475049535e-05 -3.012580095810163e-04 4.241914797709434e-06 6.244316332033703e-05 4.431946231366637e-06 1.799384115102627e-11 1.202028361663195e-12 1.964214739772494e-11 1.158582357946564e-08 7.685928267844444e-09 1.143597312300264e-08
1.165357691026569e+00 3.118111100472157e-01 5.594591527752216e-01 8.305073937005033e-04 -2.424496016449900e-03 1.160224533374089e-04 2.410178917469943e-03 1.121203288730576e-04 -1.204308958392593e+00 4.930549188090522e-02 9.632117136655378e-02 7.117730484873206e-05 -3.083219596896510e-04 4.351382597225380e-06 6.928984236998797e-05 4.545098735210026e-06 1.893453050743590e-11 1.788099715578034e-12 2.065792251280778e-11 1.346120967843122e-08 9.191070467902074e-09 1.257096814660260e-08
1.168434191373251e+00 3.108532971703430e-01 5.598002656589727e-01 8.336645882608666e-04 -2.406805086742209e-03 1.177400599281972e-04 2.417525352283079e-03 1.131149577708537e-04 -1.209729465256340e+00 4.936618120443938e-02 9.692351813485894e-02 7.141994139992451e-05 -3.097770102256524e-04 4.376808749463960e-06 7.074382909054213e-05 4.570617574967780e-06 1.915645482938428e-11 1.935756058290256e-12 2.089054501660435e-11 1.386272171189546e-08 9.462152373796479e-09 1.279499367150201e-08
1.173070973264209e+00 3.094152747059656e-01 5.603162557663224e-01 8.373009882246229e-04 -2.380395277733574e-03 1.202605398243873e-04 2.428445623063502e-03 1.144687840723448e-04 -1.217828870220927e+00 4.937431697702739e-02 9.783463591600905e-02 7.179826057504795e-05 -3.119578266617411e-04 4.416946294337264e-06 7.295143518543263e-05 4.610363633965091e-06 1.950941456705969e-11 2.175949226360333e-12 2.125545283738780e-11 1.446259743885304e-08 9.833470297993181e-09 1.310310252700110e-08
1.178236129409414e+00 3.078212168213031e-01 5.608924550725759e-01 8.398659094897221e-04 -2.351393380224589e-03 1.228589852946270e-04 2.441236088934529e-03 1.156599549617517e-04 -1.226831600240570e+00 4.933466882400824e-02 9.885415183869518e-02 7.223640378474527e-05 -3.143698461864397e-04 4.464350887167745e-06 7.543373600829341e-05 4.656535016732771e-06 1.993042884375543e-11 2.468943329789993e-12 2.168331836205847e-11 1.509433026762538e-08 1.019653079240356e-08 1.337722518175442e-08
1.192269322692546e+00 3.035316705995946e-01 5.624638489765237e-01 8.460227108141140e-04 -2.274375375955249e-03 1.284951521182897e-04 2.479687434813863e-03 1.172554970964582e-04 -1.251291504342741e+00 4.906622656411757e-02 1.016484471035216e-01 7.346591020154485e-05 -3.208319822253556e-04 4.608536721640548e-06 8.230786821315409e-05 4.792188802870029e-06 2.123861071470941e-11 3.405521504463216e-12 2.296507352235289e-11 1.651100411790242e-08 1.095252861769732e-08 1.374885159933751e-08
1.206282950513795e+00 2.993077560438730e-01 5.640400584755415e-01 8.509525582827402e-04 -2.199007177250939e-03 1.321440543210865e-04 2.523117680466270e-03 1.165446276476924e-04 -1.275833097244067e+00 4.866874939354331e-02 1.044745888707708e-01 7.468746887057581e-05 -3.271527600405618e-04 4.776046931963461e-06 8.937620876252156e-05 4.941703702639577e-06 2.281062429631759e-11 4.554349354363159e-12 2.442043548468171e-11 1.746205109241427e-08 1.140894035593454e-08 1.358265023353927e-08
