# evolve V=0 ref: q=0.2 e0=0.5 xi=[0.510826,10]
xi a_over_ah e sig_e t sig_t
3.193715556735206e+00 4.101917836133150e-02 8.559901669658854e-01 9.550607300107231e-04 1.301920019976819e+00 5.096193713980542e-04
3.265895114685980e+00 3.816275974383325e-02 8.668840075371068e-01 9.272942235712791e-04 1.404130116703843e+00 5.552778243811020e-04
3.312850738397628e+00 3.641222393235725e-02 8.738243214964320e-01 9.122248548191887e-04 1.474751756341561e+00 5.880784321176403e-04
3.363235796858397e+00 3.462304435269255e-02 8.811923617957675e-01 8.987830210787556e-04 1.554523971080649e+00 6.265363641798332e-04
3.412396705807537e+00 3.296210516090016e-02 8.881616985869740e-01 8.590720367033457e-04 1.636345314817939e+00 6.670375830519733e-04
3.453442227050658e+00 3.163654855003772e-02 8.937767647141930e-01 8.340369570440062e-04 1.707723649190233e+00 7.056346383446760e-04
3.492976985060336e+00 3.041020655249266e-02 8.990845861711714e-01 8.179511330003873e-04 1.779294979887338e+00 7.428512850279435e-04
3.559859552981500e+00 2.844281914282149e-02 9.077972449197833e-01 7.784602554060967e-04 1.907279606270524e+00 8.177405473996523e-04
3.610778068633796e+00 2.703080685916372e-02 9.141782197693828e-01 7.551182026841787e-04 2.011011041997275e+00 8.834844488458664e-04
3.646209616464860e+00 2.608983206882828e-02 9.185362882987181e-01 7.424649199397167e-04 2.086525651734039e+00 9.282880836900641e-04
3.731259172047412e+00 2.396264374099610e-02 9.285851275721381e-01 6.882195184828408e-04 2.279370276412391e+00 1.049734412784872e-03
3.809192063317767e+00 2.216608051394983e-02 9.371424664262663e-01 6.438615129731588e-04 2.471367580916082e+00 1.186301003357689e-03
3.887728268115301e+00 2.049184517921908e-02 9.451796722456834e-01 5.960029946422256e-04 2.681353910065304e+00 1.369152507001207e-03
3.939187578465410e+00 1.946402131378275e-02 9.500809485200975e-01 5.622999452731031e-04 2.828938329803107e+00 1.498746699051515e-03
3.995956073405142e+00 1.838985595097265e-02 9.551667061626706e-01 5.296337539449388e-04 3.001637362496701e+00 1.669421424736281e-03
4.038836520392681e+00 1.761795863125540e-02 9.587940583837147e-01 5.040994145793233e-04 3.139304245065035e+00 1.795412820717732e-03
4.079227910242713e+00 1.692052477451578e-02 9.620326955591644e-01 4.783697500585442e-04 3.274800872975508e+00 1.926378227863039e-03
4.121314917707840e+00 1.622316827955399e-02 9.652058153727262e-01 4.503688842975656e-04 3.421962958987278e+00 2.067125181319962e-03
4.171971422860494e+00 1.542182719299928e-02 9.687558779676497e-01 4.174512380544700e-04 3.607556313555889e+00 2.258691554796848e-03
4.218160010513295e+00 1.472571475310833e-02 9.717528853161259e-01 3.912670805656199e-04 3.785484031744179e+00 2.516406127825425e-03
4.275540535924148e+00 1.390453078886523e-02 9.751966331097474e-01 3.628023352961964e-04 4.019513490845630e+00 2.887553039531619e-03
4.372261834988584e+00 1.262265788627990e-02 9.803231684499110e-01 3.142075599607862e-04 4.449533402694295e+00 3.471732256072614e-03
